time,close,VWAP,Volume,Volume MA,K,D,RSI
2022-12-09T22:20:00+01:00,0.9124,0.922488246,185289,172058.8,68.70283595,70.0013791,42.53489606
2022-12-09T22:25:00+01:00,0.9107,0.922440506,246342,179578.4,55.08661864,68.9997775,36.56066009
2022-12-09T22:30:00+01:00,0.9093,0.922245134,899962,221295.55,30.93531208,51.57492223,32.51089594
2022-12-09T22:35:00+01:00,0.9099,0.922036248,988192,269541.2,20.17148856,35.39780643,35.79338564
2022-12-09T22:40:00+01:00,0.909,0.922010202,122269,271059.95,14.78338392,21.96339486,33.18602621
2022-12-09T22:45:00+01:00,0.9094,0.92197716,155832,277248.55,19.45545241,18.13677497,35.43706788
2022-12-09T22:50:00+01:00,0.9094,0.921954025,110747,278747.8,17.19565661,17.14483098,35.43706788
2022-12-09T22:55:00+01:00,0.9091,0.921911329,203831,268555.25,17.38258032,18.01122978,34.42813932
2022-12-09T23:00:00+01:00,0.9096,0.92189418,83580,269919.55,19.39846117,17.9922327,37.6160695
2022-12-09T23:05:00+01:00,0.9086,0.921856583,177375,274300.5,17.03972356,17.94025502,34.05049584
2022-12-09T23:10:00+01:00,0.9089,0.921842242,67757,257388.4,19.05704648,18.4984104,36.01012196
2022-12-09T23:15:00+01:00,0.9088,0.921813504,136585,256354.1,16.42125906,17.5060097,35.63007103
2022-12-09T23:20:00+01:00,0.909,0.921805352,38757,249362.65,23.0038025,19.49403601,37.06078626
2022-12-09T23:25:00+01:00,0.9086,0.921741296,293998,249354.45,26.39984964,21.94163707,35.36765319
2022-12-09T23:30:00+01:00,0.9089,0.921732801,40418,245765.85,52.85953594,34.08772936,37.66769432
2022-12-09T23:35:00+01:00,0.9094,0.921705192,138139,250484.2,76.16639137,51.80859232,41.41002714
2022-12-09T23:40:00+01:00,0.9094,0.921637796,337984,262797.85,100,76.34197577,41.41002714
2022-12-09T23:45:00+01:00,0.9095,0.921632244,28237,227414.55,100,92.05546379,42.2147486
2022-12-09T23:50:00+01:00,0.9096,0.921626764,27821,221176.65,100,100,43.05701065
2022-12-09T23:55:00+01:00,0.9099,0.921608858,94430,218877.25,100,100,45.61790747
2022-12-10T00:00:00+01:00,0.91,0.921586914,118467,215536.15,100,100,46.48191164
2022-12-10T00:05:00+01:00,0.9098,0.921569745,90900,207764.05,95.87613934,98.62537978,44.94394884
2022-12-10T00:10:00+01:00,0.9094,0.921560723,46555,165093.7,83.73533233,93.20382389,41.95408904
